MANDT,QMNUM,QMART,QMTXT,ARTPR,PRIOK,ERNAM,ERDAT,AENAM,AEDAT,MZEIT,QMDAT,QMNAM,STRMN,STRUR,LTRMN,LTRUR,WAERS,AUFNR,VERID
800,000000000001,F3   ,                                        ,QM   ,     ,VAN DIJK    ,1995-02-06 00:00:00,BARTHEL     ,1996-12-20 00:00:00,2021-02-15 18:31:41,1995-02-06 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000002,F3   ,                                        ,QM   ,     ,JENNER      ,1995-08-15 00:00:00,BARTHEL     ,1996-12-20 00:00:00,2021-02-15 09:50:55,1995-08-15 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000003,Q1   ,                                        ,QM   ,     ,RICKAYZEN   ,1995-11-20 00:00:00,            ,None,2021-02-15 11:21:04,1995-11-20 00:00:00,None,1995-11-20 00:00:00,2021-02-15 11:21:04,None,2021-02-15 00:00:00,       ,              ,      
800,000000000004,F2   ,                                        ,QM   ,     ,WESTERMANN  ,1995-06-12 00:00:00,WESTERMANN  ,1995-06-12 00:00:00,2021-02-15 18:32:23,1995-06-12 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000005,F2   ,                                        ,QM   ,     ,WESTERMANN  ,1995-06-12 00:00:00,WESTERMANN  ,1995-06-12 00:00:00,2021-02-15 19:15:47,1995-06-12 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000054,F2   ,                                        ,QM   ,     ,WESTERMANN  ,1995-12-29 00:00:00,WESTERMANN  ,1995-12-29 00:00:00,2021-02-15 14:47:24,1995-12-29 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000055,F2   ,                                        ,QM   ,     ,WESTERMANN  ,1995-12-29 00:00:00,WESTERMANN  ,1995-12-29 00:00:00,2021-02-15 17:22:28,1995-12-29 00:00:00,None,None,2021-02-15 00:00:00,None,2021-02-15 00:00:00,       ,              ,      
800,000000000056,F2   ,Dirty items delivered                   ,QM   ,3    ,WESTERMANN  ,1996-03-01 00:00:00,BARTHEL     ,1997-01-13 00:00:00,2021-02-15 13:38:07,1996-03-01 00:00:00,None,1996-04-01 00:00:00,2021-02-15 13:42:46,1996-06-01 00:00:00,2021-02-15 13:42:46,       ,              ,      
800,000000000064,Q1   ,                                        ,QM   ,1    ,NAGELS      ,1996-09-01 00:00:00,BARTHEL     ,1997-01-13 00:00:00,2021-02-15 13:51:59,1996-09-01 00:00:00,None,1996-09-01 00:00:00,2021-02-15 13:51:59,1996-10-01 00:00:00,2021-02-15 13:51:59,       ,              ,      
800,000000000065,Q1   ,                                        ,QM   ,1    ,NAGELS      ,1996-09-01 00:00:00,BARTHEL     ,1997-01-13 00:00:00,2021-02-15 14:21:23,1996-09-01 00:00:00,None,1996-09-01 00:00:00,2021-02-15 14:21:23,1996-10-01 00:00:00,2021-02-15 14:21:23,       ,              ,      
